@ NAME             %11s "SECTORTABLE"
@ TYPE             %09s "SECTORMAP"
@ TITLE            %09s "-- SIS --"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "09/08/17"
@ TIME             %08s "11.42.29"
* NAME                              POS                R11                R21                R31                R41                R51                R61                R12                R22                R32                R42                R52                R62                R13                R23                R33                R43                R53                R63                R14                R24                R34                R44                R54                R64                R15                R25                R35                R45                R55                R65                R16                R26                R36                R46                R56                R66 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "SIS18_MID$START"                    0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1
 "DR1"                            0.645                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.684223823e-07                  1
 "RB"                       3.262993878       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR2"                      4.232993878                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.532863734e-07                  1
 "RB"                       6.850987756       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR3"                      13.68999946                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0          6.8390117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.785802548e-06                  1
 "QS1F"                     14.72999946       0.8506175437      -0.2798983873                  0                  0                  0                  0       0.9876791253       0.8506175437                  0                  0                  0                  0                  0                  0        1.157212162       0.3100143242                  0                  0                  0                  0        1.093949413        1.157212162                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR4"                      15.32999946                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719836e-07                  1
 "QS2D"                     16.36999946        1.279542435       0.5613298345                  0                  0                  0                  0        1.135212853        1.279542435                  0                  0                  0                  0                  0                  0       0.7442976446      -0.4696216114                  0                  0                  0                  0       0.9497455086       0.7442976446                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
